"FacilityID"	"OutfallID"	"CWPName"	"DesignFlow_mgd"	"Measured_Effluent"	"Units"	"MP_Begin_Date"	"MP_End_Date"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2390.4	"MGD"	"12/01/2015"	"12/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2384.6	"MGD"	"04/01/2014"	"04/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2364	"MGD"	"06/01/2013"	"06/30/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2361.6	"MGD"	"11/01/2011"	"11/30/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2355.6	"MGD"	"07/01/2017"	"07/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2347.7	"MGD"	"05/01/2012"	"05/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2345.1	"MGD"	"08/01/2017"	"08/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2344.2	"MGD"	"07/01/2015"	"07/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2341.7	"MGD"	"07/01/2014"	"07/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2341.5	"MGD"	"09/01/2015"	"09/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2337.4	"MGD"	"06/01/2017"	"06/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2333	"MGD"	"06/01/2014"	"06/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2332.7	"MGD"	"08/01/2014"	"08/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2321.9	"MGD"	"08/01/2015"	"08/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2315.5	"MGD"	"05/01/2011"	"05/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2309.3	"MGD"	"05/01/2018"	"05/31/2018"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2306.9	"MGD"	"10/01/2014"	"10/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2304.8	"MGD"	"06/01/2015"	"06/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2304	"MGD"	"12/01/2017"	"12/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2281.2	"MGD"	"07/01/2016"	"07/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2264.4	"MGD"	"04/01/2018"	"04/30/2018"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2245.1	"MGD"	"06/01/2016"	"06/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2244.2	"MGD"	"08/01/2016"	"08/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2232.4	"MGD"	"10/01/2015"	"10/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2227.5	"MGD"	"05/01/2015"	"05/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2220.6	"MGD"	"05/01/2016"	"05/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2218.8	"MGD"	"05/01/2017"	"05/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2199.3	"MGD"	"09/01/2016"	"09/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2109.6	"MGD"	"04/01/2011"	"04/30/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2108	"MGD"	"11/01/2017"	"11/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2103.1	"MGD"	"11/01/2016"	"11/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2089.3	"MGD"	"10/01/2017"	"10/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2088	"MGD"	"09/01/2017"	"09/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2082.2	"MGD"	"04/01/2015"	"04/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2059.2	"MGD"	"09/01/2013"	"09/30/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2037.6	"MGD"	"12/01/2011"	"12/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2037.6	"MGD"	"03/01/2013"	"03/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2030.8	"MGD"	"11/01/2015"	"11/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	2027.5	"MGD"	"04/01/2017"	"04/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2013.1	"MGD"	"03/01/2011"	"03/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	2012.4	"MGD"	"01/01/2011"	"01/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1980	"MGD"	"04/01/2012"	"04/30/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1976.4	"MGD"	"02/01/2012"	"02/29/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1976.4	"MGD"	"02/01/2011"	"02/28/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1972.8	"MGD"	"09/01/2014"	"09/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1957.7	"MGD"	"10/01/2012"	"10/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1954.8	"MGD"	"10/01/2011"	"10/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1949.9	"MGD"	"11/01/2013"	"11/30/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1944	"MGD"	"04/01/2016"	"04/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1927.2	"MGD"	"08/01/2011"	"08/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1926.7	"MGD"	"12/01/2013"	"12/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1915.2	"MGD"	"02/01/2013"	"02/28/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1915.2	"MGD"	"12/01/2012"	"12/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1915.2	"MGD"	"01/01/2012"	"01/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1892.7	"MGD"	"10/01/2013"	"10/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1888.3	"MGD"	"11/01/2011"	"11/30/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1882.8	"MGD"	"02/01/2018"	"02/28/2018"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1868.4	"MGD"	"02/01/2015"	"02/28/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1848.7	"MGD"	"03/01/2017"	"03/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1821.6	"MGD"	"01/01/2013"	"01/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1821.6	"MGD"	"12/01/2016"	"12/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1821.6	"MGD"	"02/01/2017"	"02/28/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1821.6	"MGD"	"02/01/2016"	"02/29/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1816.1	"MGD"	"10/01/2014"	"10/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1802.9	"MGD"	"01/01/2018"	"01/31/2018"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1802.9	"MGD"	"01/01/2015"	"01/31/2015"	"VPDES_flag_desflow"
"VA0091995"	"VA0091995001"	"RESTON LAKE ANNE AIR CONDITIONING CORPORATION"	0	1800	"MGD"	"07/01/2017"	"09/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1789.8	"MGD"	"11/01/2014"	"11/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1778.1	"MGD"	"04/01/2014"	"04/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1774.8	"MGD"	"01/01/2014"	"01/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1774.8	"MGD"	"01/01/2017"	"01/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1774.8	"MGD"	"03/01/2014"	"03/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1736.7	"MGD"	"12/01/2015"	"12/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1724.1	"MGD"	"11/01/2012"	"11/30/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1714.8	"MGD"	"10/01/2016"	"10/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1670.8	"MGD"	"04/01/2011"	"04/30/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1666.8	"MGD"	"01/01/2016"	"01/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1652.4	"MGD"	"12/01/2014"	"12/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1652.4	"MGD"	"02/01/2014"	"02/28/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1613.7	"MGD"	"04/01/2018"	"04/30/2018"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1594.8	"MGD"	"03/01/2015"	"03/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1590.3	"MGD"	"10/01/2011"	"10/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1585.3	"MGD"	"04/01/2015"	"04/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1564.8	"MGD"	"09/01/2017"	"09/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1560	"MGD"	"09/01/2016"	"09/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1559	"MGD"	"04/01/2016"	"04/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1517.8	"MGD"	"03/01/2012"	"03/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1517.3	"MGD"	"12/01/2017"	"12/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1495.6	"MGD"	"12/01/2011"	"12/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1491	"MGD"	"05/01/2013"	"05/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1471.1	"MGD"	"02/01/2012"	"02/29/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1468	"MGD"	"01/01/2012"	"01/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1467.4	"MGD"	"03/01/2011"	"03/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1460.1	"MGD"	"09/01/2013"	"09/30/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1455.6	"MGD"	"03/01/2013"	"03/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1452.8	"MGD"	"12/01/2012"	"12/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1446.8	"MGD"	"01/01/2011"	"01/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1429.6	"MGD"	"09/01/2014"	"09/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1418.5	"MGD"	"02/01/2013"	"02/28/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1416.6	"MGD"	"01/01/2013"	"01/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1411	"MGD"	"02/01/2011"	"02/28/2011"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1387.6	"MGD"	"01/01/2016"	"01/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1378.1	"MGD"	"04/01/2012"	"04/30/2012"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1374	"MGD"	"03/01/2014"	"03/31/2014"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1374	"MGD"	"12/01/2016"	"12/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451001"	"DOMINION - NORTH ANNA POWER STATION"	0	1371.6	"MGD"	"04/01/2013"	"04/30/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1347.5	"MGD"	"01/01/2015"	"01/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1341.1	"MGD"	"12/01/2013"	"12/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1339.9	"MGD"	"02/01/2016"	"02/29/2016"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1339.9	"MGD"	"02/01/2017"	"02/28/2017"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1328.7	"MGD"	"02/01/2018"	"02/28/2018"	"VPDES_flag_desflow"
"VA0052451"	"VA0052451101"	"DOMINION - NORTH ANNA POWER STATION"	0	1328.4	"MGD"	"01/01/2017"	"01/31/2017"	"VPDES_flag_desflow"
